open_dt,close_dt,volume,pnl,pips,duration,max_dd
2017-04-19 12:00:00,2017-04-19 17:00:00,50000.0,49.500000000002316,99.00000000000463,5,-96.00000000000718
2017-04-19 17:00:00,2017-04-20 06:00:00,50247.5,-74.36629999999627,-147.99999999999258,13,146.99999999998602
2017-04-20 06:00:00,2017-04-20 08:00:00,49875.66850000003,-34.91296794999617,-69.99999999999228,2,69.99999999999228
2017-04-20 08:00:00,2017-04-20 11:00:00,49701.103660250046,71.56958927076543,144.00000000001077,3,-143.00000000000423
2017-04-20 11:00:00,2017-04-20 14:00:00,50058.95160660388,-96.61377660074484,-192.99999999999872,3,188.9999999999947
2017-04-20 14:00:00,2017-04-20 18:00:00,49575.88272360015,234.49392528263482,473.0000000000123,4,-472.0000000000057
2017-04-20 18:00:00,2017-04-21 08:00:00,50748.352350013345,-0.5074835234921897,-0.9999999999843466,14,1.9999999999908977
2017-04-21 08:00:00,2017-04-21 12:00:00,50745.81493239588,139.5509910640902,275.000000000003,4,-273.0000000000121
2017-04-21 12:00:00,2017-04-21 15:00:00,51443.56988771633,66.36220515515475,129.00000000000134,3,-127.99999999999477
2017-04-21 15:00:00,2017-04-21 17:00:00,51775.380913492125,6.730799518752085,12.999999999996346,2,-11.999999999989795
2017-04-23 21:00:00,2017-04-23 23:00:00,51809.03491108584,69.42410678086118,134.00000000001188,2,-134.99999999999622
2017-04-23 23:00:00,2017-04-24 04:00:00,52156.155444990116,154.382220117163,295.99999999998516,5,-293.99999999999426
2017-04-24 04:00:00,2017-04-24 09:00:00,52928.06654557593,0.5292806654592267,1.0000000000065512,5,-2.9999999999974487
2017-04-24 09:00:00,2017-04-25 10:00:00,52930.712948903274,-66.16339118612768,-124.99999999999733,25,123.99999999999078
2017-04-25 10:00:00,2017-04-25 13:00:00,52599.89599297263,-52.07389703303367,-98.99999999998242,3,97.99999999999808
2017-04-25 13:00:00,2017-04-28 14:00:00,52339.526507807495,-98.3983098346719,-187.99999999998815,73,183.99999999998417
2017-04-28 20:00:00,2017-04-30 22:00:00,51847.53495863417,71.54959824291188,137.99999999999366,2,32.999999999994145
2017-04-30 22:00:00,2017-05-01 00:00:00,52205.28294984873,-18.793901861941155,-35.999999999991594,2,37.99999999998249
2017-05-01 00:00:00,2017-05-01 02:00:00,52111.31344053898,33.872353736352395,65.00000000000394,2,-63.999999999997385
2017-05-01 02:00:00,2017-05-01 14:00:00,52280.67520922079,-81.55785332638473,-156.00000000000057,12,153.99999999998747
2017-05-01 14:00:00,2017-05-01 16:00:00,51872.88594258887,17.11805236106281,33.00000000001635,2,-32.0000000000098
2017-05-01 19:00:00,2017-05-01 21:00:00,51958.47620439414,12.470034289055526,24.000000000001794,2,-22.999999999995243
2017-05-01 22:00:00,2017-05-02 00:00:00,52020.826375839424,11.444581802690344,22.000000000010896,2,-24.000000000001794
2017-05-02 02:00:00,2017-05-02 04:00:00,52078.04928485286,-21.35200020679079,-41.000000000002146,2,42.0000000000087
2017-05-03 14:00:00,2017-05-03 20:00:00,51971.28928381896,67.04296317612715,129.00000000000134,6,-127.99999999999477
2017-05-03 22:00:00,2017-05-04 09:00:00,52306.50409969963,-154.82725213511478,-296.00000000000733,11,292.99999999998766
2017-05-04 09:00:00,2017-05-04 11:00:00,51532.367839024046,12.367768281355255,23.99999999997959,2,-22.999999999995243
